Language ID,Language Name,Alternate Names,Keywords for Communities Where Language is Spoken,BCP 47 Language Code
"4c758cae-f50e-44bf-a537-b31fcc60d651","Anishinaabemowin","Saulteau, Saulteaux, Ojibwe, Ojibway, Ojibwa, Plains Ojibway","Saulteau","oji"
"e402aedd-d1af-46f0-b182-94d1eb1dd912","Dakelh","Dakeł, Carrier, ᑕᗸᒡ, Taculli, Takulie","Binche Whut’en, Cheslatta Carrier, Lheidli-T’enneh, Lhoosk’uz Dene, Lhtako Dene, Nadleh Whut’en, Nak’azdli Whut’en, Nazko, Saik’uz, Stellat’en, Takla Lake, Tl’azt’en, Ts’il Kaz Koh, Ulkatcho, Yekooche, Prince George, Quesnel","crx, caf"
"65139e5d-033e-43f8-81bb-1dc76e7f1245","Dane-Ẕaa","Dane-ẕaa Ẕáágéʔ, Beaver, Dunne-ẕa, ᑕᓀ ᖚ","Zaa- Blueberry River, Doig River, Halfway River, Prophet River, Saulteau, West Moberly","bea"
"bf65bb34-42ee-45ad-93bf-ef68799aa54d","Danezāgéʼ","Kaska, Kaska Dena","Daylu Dena, Dease River, Liard","kkz"
"c1960a51-9d57-4cdb-a852-4b73fb4453c3","Dene Kʼe","Slavey, Slave, Dene Kʼeh, Dene, Dené, Dené Thaʼ, Dené Dháh, Dene Zhatıé, Achaʼotinne","Fort Nelson","den"
"52298322-20cb-4a36-970a-a823cf19d03a","diitiidʔaaʔtx̣","Diidiitidq, Ditidaht, Nitinaht, Nitinat, Ditidaht-Pacheedaht","Ditidaht, Pacheedaht, Ts'uubaa-asatx, Lake Cowichan, nuuchahnulth, Nuu-chah-nulth","dtd"
"920f3d1e-2673-4a29-b59e-3d191ca1bccb","Éy7á7juuthem","Comox, Island Comox, Mainland Comox, Sliammon, Comox-Sliammon","Homalco, Klahoose, K’omoks, Sliammon, Courtenay, Powell River","coo"
"d39b5f4a-027b-4340-864e-5082bad2be1c","Gitsenimx̱","Gitxsanimx̱, Gitxsanimax̱, Gitksan, Gitxsan, Gitxsen","Anspayaxw, Gitanmaax, Gitanyow, Gitsegukla, Gitwangak, Sik-e-Dakh, Terrace, Prince Rupert","git"
"ae0a8a48-93d2-4742-9e86-2ab0af7cce3a","Haíɫzaqvḷa","Heiltsuk, Xai'xais, Bella Bella, Híɫzaqvḷa, Hailhzaqvla, Haíhlzaqvḷa, Heiltsukv, Heiltsukvla","Heiltsuk, Bella Bella, Kitasoo, Xai’xais, Klemtu","hei"
"63f63bde-eea3-41cd-9ad6-490be56ff022","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓","Hulʼqʼumiʼnumʼ, Halqʼeméylem, hən̓q̓əmin̓əm̓, Halkomelem, Island Hulʼqʼumiʼnumʼ, Upriver Halqʼeméylem, Downriver hən̓q̓əmin̓əm̓","Aitchelitz, BOḰEĆEN, Pauquachin, Chawathil, Cheam Chehalis, Lake Cowichan, Halalt, Katzie, Kwantlen, Kwaw-kwaw-apilt, Kwikwetlem, kʷikʷəƛ̓əm, Leq’a:mel, Lyackson, MÁLEXEȽ, Malahat, Matsqui, Penelakut, Peters, Popkum, Qayqayt, Qualicum, Scia’new, Beecher Bay, Scowlitz, Seabird Island, Shxwhá:y, Shxw’owhamel, Skawahlook, Skowkale, Skwah, Snaw-naw-as, Nanoose, Snuneymuxw, Soowahlie, Squiala, Stz’uminus, Sumas, Tsawwassen, Tsleil-Waututh, Ts'uubaa-asatx, Tzeachten, Union Bar, xʷməθkʷəy̓əm, Musqueam, Yakweakwioose, Yale, Metro Vancouver, Chilliwack, Abbotsford, Nanaimo","hur"
"5dcf1f2b-1ea7-4da0-ad7b-8fdc3d293fc9","Ktunaxa","Kootenay, Kootenai, Kutenai","yaqan nuʔkiy, Kootenay, ʔakink̓umǂasnuqǂiʔit, Tobacco Plains, ʔakisq̓nuk, Akisqnuk, ʔaq̓am, St. Mary’s, Cranbrook, Nelson","kut"
"3b01d8e8-5327-400c-bd85-c2ba86726485","Kwak̕wala","Kwakiutl, Kwakwakaʼwakw","Da’naxda’xw, Dzawada’enuxw, Gwa’sala-’Nakwaxda’xw, Gwawaʼenux̱w, K’omoks, Kwakiutl, Kwiakah, Kwikwasut’inuxw Haxwa’mis, Ławitʼsis, Tlowitsis, Mamalilikulla, ʼNa̱mǥis, Quatsino, Tlatlasikwala, Wei Wai Kai, Wei Wai Kum, Port Hardy, Campbell River","kwk"
"9328602d-e031-4648-921c-181969a1881c","Lingít","Łingít, Tlingit","Taku River, Tlingit","tli"
"3d9552da-a28e-4f24-b98b-c9c155c990bf","Nedutʼen / Witsuwitʼen","Nedutʼen, Nadotʼen, Witsuwitʼen, Babine, Natʼootʼen, Wetʼsuwetʼen, Babine-Witsuwitʼen, Bulkley Valley Language, Lakes District Language","Cheslatta Carrier, Hagwilget, Lake Babine, Nee-Tahi-Buhn, Skin Tyee, Takla Lake, Tsil Kaz Koh, Burns Lake, Wet’suwet’en, Witset","bcr"
"2326173d-9d94-4fc0-808d-c81736d317e6","nēhiyawēwin","Nehiyawewin, ᓀᐦᐃᔭᐍᐏᐣ, Plains Cree, Cree","Blueberry River, Fort Nelson, Saulteau, West Moberly, Vancouver","crk"
"e7e726ab-ee13-49f1-9abd-1a51f4f93c9a","Nɬeʔkepmxcín","Nlakaʼpamux, Nlha7kápmx, Thompson Salish","Ashcroft, Boothroyd, Boston Bar, Coldwater, Cook’s Ferry, Kanaka Bar, Lower Nicola, Lytton, Nicomen, Nooaitch, Oregon Jack Creek, Shackan, Siska, Skuppah, Spuzzum, Merritt","thp"
"7a04344e-562a-4752-818d-85a0186eb8f9","Nisg̱aʼa","Niska, Nass, Nisgaʼa, Nishga, Niskaʼ, Niskʼaʼ","Gingolx, Gitlaxt’aamiks, Laxgalts’ap, Nisga’a, Gitwinksihlkw, Terrace, Prince Rupert, Vancouver","ncg"
"e6c8f8d2-29e1-4917-a077-a3408a07ae11","Nsyilxcən","Okanagan, Colville-Okanagan","Lower Similkameen, Okanagan, Osoyoos, Penticton, Upper Nicola, Upper Similkameen, Westbank, Vernon, Kelowna","oka"
"05991650-531f-4880-a441-124c523cb934","nuučaan̓uł","Nuu-chah-nulth, Nootka, Nootkans, Tahkaht","nuuchahnulth, Ahousaht, ditidaht, nitinaht, Ehattesaht, Hesquiaht, Hupacasath, Huu-ay-aht, Ka:’yu:’k’t’h’, Che:k:tles7et’h’, Mowachaht/Muchalaht, Nuchatlaht, Tla-o-qui-aht, Toquaht, Tseshaht, Uchucklesaht, Ucluelet, Tofino, Port Alberni","nuk"
"feb6991f-6414-481d-8e8d-a1f906579028","Nuxalk","Bella Coola, Nass","","blc"
"3352688c-b9a7-4db0-96c4-ec70f4c07b30","Secwepemctsín","Shuswap, Secwepemc","Esk’etemc, Kenpésq’t, Shuswap, Llenllenéy’ten, High Bar, Pelltíq’t, Whispering Pines, Clinton, Sexqeltqín, Adams Lake, Simpcw, Sk’atsin, Neskonlith, Skeetchestn, Skwlax, Little Shuswap Lake, Splatsin, St’uxwtéws, Bonaparte, Stswécem’c, Canoe Creek, T’éxel’c, Williams Lake, Tk’emlúps, Tsq’éscen, Canim Lake, Xats'ull, Soda Creek, Kamloops, Salmon Arm","shs"
